x_degree: 2
y_degree: 2
num_x_ctrl_points: 100
num_y_ctrl_points: 100
x_knots: 0.02, 0.02, 0.02, 0.03, 0.04, 0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2, 0.21, 0.22, 0.23, 0.24, 0.25, 0.26, 0.27, 0.28, 0.29, 0.3, 0.31, 0.32, 0.33, 0.34, 0.35, 0.36, 0.37, 0.38, 0.39, 0.4, 0.41, 0.42, 0.43, 0.44, 0.45, 0.46, 0.47, 0.48, 0.49, 0.5, 0.51, 0.52, 0.53, 0.54, 0.55, 0.56, 0.57, 0.58, 0.59, 0.6, 0.61, 0.62, 0.63, 0.64, 0.65, 0.66, 0.67, 0.68, 0.69, 0.7, 0.71, 0.72, 0.73, 0.74, 0.75, 0.76, 0.77, 0.78, 0.79, 0.8, 0.81, 0.82, 0.83, 0.84, 0.85, 0.86, 0.87, 0.88, 0.89, 0.9, 0.91, 0.92, 0.93, 0.94, 0.95, 0.96, 0.97, 0.98, 0.99
y_knots: 0.2, 0.2, 0.2, 0.218367, 0.236735, 0.255102, 0.273469, 0.291837, 0.310204, 0.328571, 0.346939, 0.365306, 0.383673, 0.402041, 0.420408, 0.438776, 0.457143, 0.47551, 0.493878, 0.512245, 0.530612, 0.54898, 0.567347, 0.585714, 0.604082, 0.622449, 0.640816, 0.659184, 0.677551, 0.695918, 0.714286, 0.732653, 0.75102, 0.769388, 0.787755, 0.806122, 0.82449, 0.842857, 0.861224, 0.879592, 0.897959, 0.916327, 0.934694, 0.953061, 0.971429, 0.989796, 1.00816, 1.02653, 1.0449, 1.06327, 1.08163, 1.1, 1.11837, 1.13673, 1.1551, 1.17347, 1.19184, 1.2102, 1.22857, 1.24694, 1.26531, 1.28367, 1.30204, 1.32041, 1.33878, 1.35714, 1.37551, 1.39388, 1.41224, 1.43061, 1.44898, 1.46735, 1.48571, 1.50408, 1.52245, 1.54082, 1.55918, 1.57755, 1.59592, 1.61429, 1.63265, 1.65102, 1.66939, 1.68776, 1.70612, 1.72449, 1.74286, 1.76122, 1.77959, 1.79796, 1.81633, 1.83469, 1.85306, 1.87143, 1.8898, 1.90816, 1.92653, 1.9449, 1.96327, 1.98163
coefficients: 
9.58056, -83.0113, 70.2871, -62.0637, 57.1704, -0.332746, 24.0471, 25.0872, 15.3771, 27.5392, 21.1611, 25.5996, 26.4211, 26.8292, 28.8722, 29.4055, 30.9728, 31.9448, 33.1328, 34.264, 35.3588, 36.5229, 37.609, 38.7329, 39.8357, 40.9322, 42.0231, 43.1056, 44.18, 45.2463, 46.3042, 47.3535, 48.3938, 49.4249, 50.4466, 51.4587, 52.4608, 53.4528, 54.4344, 55.4054, 56.3655, 57.3146, 58.2524, 59.1787, 60.0934, 60.9961, 61.8867, 62.7651, 63.631, 64.4842, 65.3245, 66.1519, 66.966, 67.7668, 68.5541, 69.3277, 70.0876, 70.8334, 71.5654, 72.2809, 73.0024, 73.6864, 74.362, 75.0212, 75.6661, 76.2959, 76.9108, 77.5104, 78.095, 78.6643, 79.2183, 79.7569, 80.2801, 80.7877, 81.2796, 81.7615, 82.2198, 82.6663, 83.0969, 83.5057, 83.9065, 84.2872, 84.6547, 85.0049, 85.3425, 85.6601, 85.965, 86.252, 86.5248, 86.781, 87.0224, 87.2475, 87.4577, 87.652, 87.8311, 87.9948, 88.1433, 88.2766, 88.395, 88.4464
-0.912255, 7.90429, -6.6927, 5.90977, -5.55348, 262.777, 171.484, 184.239, 244.906, 207.841, 253.504, 250.812, 264.215, 279.406, 287.237, 301.747, 311.572, 323.988, 335.363, 346.916, 358.55, 369.791, 381.291, 392.529, 403.765, 414.929, 426.014, 437.029, 447.968, 458.827, 469.605, 480.299, 490.906, 501.424, 511.85, 522.182, 532.418, 542.555, 552.59, 562.523, 572.35, 582.069, 591.678, 601.176, 610.559, 619.826, 628.975, 638.003, 646.91, 655.693, 664.35, 672.88, 681.281, 689.551, 697.689, 705.693, 713.561, 721.292, 728.884, 736.346, 743.577, 750.768, 757.787, 764.67, 771.404, 777.993, 784.433, 790.726, 796.868, 802.859, 808.699, 814.388, 819.923, 825.305, 830.535, 835.585, 840.515, 845.273, 849.875, 854.35, 858.633, 862.78, 866.758, 870.587, 874.245, 877.765, 881.116, 884.319, 887.36, 890.249, 892.978, 895.555, 897.975, 900.241, 902.352, 904.31, 906.113, 907.765, 909.263, 909.938
5.74725, -49.7974, 42.1643, -37.2312, 34.2547, 98.1592, 182.768, 192.707, 168.05, 213.737, 199.745, 220.534, 229.67, 237.448, 250.478, 258.613, 270.077, 279.567, 289.785, 299.761, 309.593, 319.621, 329.369, 339.208, 348.948, 358.635, 368.271, 377.843, 387.353, 396.799, 406.179, 415.491, 424.732, 433.901, 442.995, 452.013, 460.952, 469.811, 478.588, 487.281, 495.887, 504.406, 512.835, 521.172, 529.416, 537.566, 545.618, 553.573, 561.427, 569.181, 576.831, 584.377, 591.817, 599.15, 606.374, 613.488, 620.491, 627.381, 634.158, 640.813, 647.417, 653.83, 660.144, 666.333, 672.404, 678.353, 684.18, 689.884, 695.464, 700.919, 706.249, 711.453, 716.53, 721.48, 726.302, 731.013, 735.57, 740.009, 744.319, 748.479, 752.533, 756.443, 760.23, 763.881, 767.411, 770.797, 774.06, 777.185, 780.184, 783.048, 785.784, 788.386, 790.86, 793.202, 795.414, 797.496, 799.448, 801.271, 802.966, 803.749
2.97396, -25.7681, 21.8183, -19.2656, 17.7205, 62.3741, 106.424, 121.202, 155.299, 136.489, 162.515, 162.324, 170.85, 180.349, 185.848, 194.977, 201.547, 209.546, 216.938, 224.45, 232.004, 239.343, 246.82, 254.154, 261.484, 268.773, 276.017, 283.22, 290.379, 297.492, 304.559, 311.577, 318.544, 325.46, 332.323, 339.132, 345.884, 352.58, 359.216, 365.792, 372.307, 378.759, 385.147, 391.47, 397.726, 403.914, 410.033, 416.082, 422.059, 427.963, 433.794, 439.55, 445.23, 450.833, 456.358, 461.804, 467.17, 472.455, 477.657, 482.783, 487.775, 492.739, 497.603, 502.385, 507.079, 511.686, 516.204, 520.635, 524.975, 529.226, 533.386, 537.454, 541.432, 545.317, 549.11, 552.797, 556.409, 559.918, 563.334, 566.67, 569.893, 573.032, 576.069, 579.015, 581.857, 584.615, 587.27, 589.834, 592.299, 594.67, 596.944, 599.124, 601.207, 603.196, 605.088, 606.886, 608.588, 610.196, 611.708, 612.418
0.442037, -3.83005, 3.24297, -2.86353, 2.61681, 50.1746, 61.2521, 89.512, 92.6589, 119.257, 110.645, 122.59, 127.645, 131.9, 139.26, 143.73, 150.17, 155.447, 161.157, 166.726, 172.216, 177.824, 183.271, 188.777, 194.229, 199.653, 205.052, 210.419, 215.754, 221.057, 226.326, 231.56, 236.759, 241.92, 247.044, 252.129, 257.173, 262.177, 267.138, 272.057, 276.931, 281.761, 286.544, 291.281, 295.97, 300.61, 305.201, 309.741, 314.23, 318.667, 323.051, 327.381, 331.657, 335.877, 340.041, 344.148, 348.198, 352.19, 356.123, 359.993, 363.841, 367.585, 371.279, 374.908, 378.475, 381.979, 385.419, 388.796, 392.108, 395.355, 398.537, 401.652, 404.702, 407.685, 410.601, 413.461, 416.238, 418.954, 421.602, 424.17, 426.684, 429.121, 431.495, 433.796, 436.034, 438.194, 440.291, 442.315, 444.271, 446.156, 447.973, 449.719, 451.397, 453.004, 454.543, 456.012, 457.411, 458.742, 460.004, 460.6
1.35241, -11.718, 9.92183, -8.76099, 8.05799, 29.3036, 49.4237, 56.2977, 72.4598, 75.7426, 91.8622, 91.1107, 95.9884, 101.493, 104.418, 109.687, 113.309, 117.856, 122.014, 126.253, 130.523, 134.658, 138.887, 143.027, 147.17, 151.291, 155.387, 159.463, 163.516, 167.544, 171.548, 175.526, 179.478, 183.403, 187.3, 191.168, 195.007, 198.815, 202.593, 206.338, 210.052, 213.732, 217.379, 220.991, 224.567, 228.108, 231.612, 235.08, 238.509, 241.9, 245.251, 248.563, 251.835, 255.066, 258.256, 261.404, 264.509, 267.571, 270.59, 273.568, 276.469, 279.362, 282.2, 284.995, 287.742, 290.444, 293.098, 295.705, 298.264, 300.775, 303.238, 305.651, 308.016, 310.332, 312.598, 314.806, 316.976, 319.09, 321.154, 323.176, 325.136, 327.051, 328.912, 330.723, 332.478, 334.188, 335.842, 337.448, 339, 340.501, 341.95, 343.347, 344.692, 345.987, 347.229, 348.419, 349.558, 350.645, 351.68, 352.173
0.587278, -5.0885, 4.30852, -3.80443, 3.49444, 24.0215, 34.0137, 44.1436, 50.4412, 59.1005, 63.749, 72.189, 75.0881, 77.429, 81.9623, 84.4585, 88.347, 91.417, 94.7961, 98.0793, 101.309, 104.626, 107.834, 111.086, 114.304, 117.507, 120.697, 123.868, 127.022, 130.158, 133.275, 136.372, 139.45, 142.507, 145.543, 148.557, 151.549, 154.518, 157.463, 160.385, 163.282, 166.153, 169, 171.819, 174.613, 177.379, 180.117, 182.827, 185.508, 188.16, 190.783, 193.375, 195.937, 198.467, 200.967, 203.434, 205.869, 208.272, 210.641, 212.975, 215.302, 217.563, 219.799, 221.997, 224.161, 226.29, 228.382, 230.439, 232.459, 234.443, 236.389, 238.299, 240.171, 242.006, 243.803, 245.569, 247.286, 248.971, 250.616, 252.215, 253.785, 255.311, 256.801, 258.249, 259.663, 261.032, 262.365, 263.656, 264.909, 266.122, 267.296, 268.429, 269.524, 270.578, 271.593, 272.569, 273.505, 274.402, 275.26, 275.668
